stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Development\Projects\Template\bin\Debug\allegro5.cfg r
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00012] Starting DirectSound...
audio-dsound D           dsound.cpp:288  _dsound_open                     [   0.01216] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:77   get_window                       [   0.01220] Using desktop window: 0000000000010010
audio    I              audio.c:391  do_install_audio                 [   0.01239] Using DirectSound driver
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.01256] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.01258] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.01323] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.03570] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.03626] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.03627] al_display=000000000076a750
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.03628] al_display->vt=000000000076a5e0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.03981] found 128 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.03983] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03984] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03985] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03986] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03986] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03987] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.03988] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03988] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.03989] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03990] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03990] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03991] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03992] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03993] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.03993] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03994] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.03994] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03998] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03999] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03999] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04000] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.04001] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.04001] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.04002] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.04003] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04003] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04004] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04005] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04005] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.04006] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.04007] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.04007] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.04008] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04009] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04009] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04010] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04011] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.04011] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.04012] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.04013] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.04013] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04014] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04015] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04015] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04016] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.04017] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.04017] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.04018] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.04019] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04019] Score is : 897
